idx,cartmass,polemass,polelength,outcome,success,steps,duration_s,reached_upright,time_to_upright_s,longest_balance_steps,longest_balance_s,peak_theta_dev_deg,peak_abs_x_m,control_effort,mean_infer_ms,n_errors,theta0_deg
167,0.35,0.23,0.36,timeout,0,1000,25.0,0,,0,0.0,179.99,0.576,120.272,8.91,0,197.19
168,0.35,0.25,0.08,timeout,0,1000,25.0,0,,0,0.0,179.89,0.174,3.898,8.88,0,197.19
169,0.35,0.25,0.12,timeout,0,1000,25.0,1,22.325,103,2.575,179.97,0.211,26.395,8.93,0,197.19
170,0.35,0.25,0.16,timeout,0,1000,25.0,1,16.25,346,8.65,179.57,0.231,57.527,8.86,0,197.19
171,0.35,0.25,0.2,timeout,0,1000,25.0,1,17.4,295,7.375,179.78,0.401,96.626,8.89,0,197.19
172,0.35,0.25,0.24,timeout,0,1000,25.0,0,,0,0.0,179.92,0.563,105.306,8.84,0,197.19
173,0.35,0.25,0.28,timeout,0,1000,25.0,0,,0,0.0,179.94,0.371,114.679,8.88,0,197.19
174,0.35,0.25,0.32,timeout,0,1000,25.0,0,,0,0.0,179.88,0.455,129.772,8.84,0,197.19
175,0.35,0.25,0.36,timeout,0,1000,25.0,0,,0,0.0,179.97,0.602,118.343,8.89,0,197.19
176,0.4,0.05,0.08,out_of_bounds,0,392,9.8,1,7.8,0,0.0,179.55,4.101,125.063,8.78,0,197.19
177,0.4,0.05,0.12,out_of_bounds,0,317,7.925,1,5.625,0,0.0,179.39,4.127,40.422,8.73,0,197.19
178,0.4,0.05,0.16,success,1,737,18.425,1,5.325,500,12.5,179.33,0.151,8.27,8.85,0,197.19
179,0.4,0.05,0.2,success,1,727,18.175,1,5.35,500,12.5,179.7,0.142,10.17,8.81,0,197.19
180,0.4,0.05,0.24,success,1,751,18.775,1,5.875,500,12.5,179.51,0.169,13.143,8.94,0,197.19
181,0.4,0.05,0.28,success,1,797,19.925,1,7.375,500,12.5,179.86,0.213,16.089,8.9,0,197.19
182,0.4,0.05,0.32,success,1,812,20.3,1,7.725,500,12.5,179.82,0.268,18.835,8.85,0,197.19
183,0.4,0.05,0.36,success,1,894,22.35,1,8.975,500,12.5,179.2,0.318,29.954,8.83,0,197.19
184,0.4,0.07,0.08,out_of_bounds,0,560,14.0,1,12.025,0,0.0,179.97,4.07,128.194,8.88,0,197.19
185,0.4,0.07,0.12,out_of_bounds,0,390,9.75,1,6.575,0,0.0,179.97,4.146,121.142,8.84,0,197.19
186,0.4,0.07,0.16,success,1,739,18.475,1,5.875,500,12.5,179.07,0.11,8.608,8.87,0,197.19
187,0.4,0.07,0.2,success,1,780,19.5,1,6.875,500,12.5,179.83,0.14,13.106,8.82,0,197.19
188,0.4,0.07,0.24,success,1,818,20.45,1,7.575,500,12.5,179.99,0.18,17.873,8.81,0,197.19
189,0.4,0.07,0.28,success,1,844,21.1,1,8.1,500,12.5,179.92,0.224,21.489,8.79,0,197.19
