idx,cartmass,polemass,polelength,outcome,success,steps,duration_s,reached_upright,time_to_upright_s,longest_balance_steps,longest_balance_s,peak_theta_dev_deg,peak_abs_x_m,control_effort,mean_infer_ms,n_errors,theta0_deg
170,0.35,0.25,0.16,timeout,0,1000,25.0,1,16.25,346,8.65,179.57,0.231,57.527,14.89,0,197.19
171,0.35,0.25,0.2,timeout,0,1000,25.0,1,17.4,296,7.4,179.78,0.401,96.634,15.0,0,197.19
172,0.35,0.25,0.24,timeout,0,1000,25.0,0,,0,0.0,179.95,0.563,105.304,14.8,0,197.19
173,0.35,0.25,0.28,timeout,0,1000,25.0,0,,0,0.0,179.94,0.371,114.68,14.72,0,197.19
174,0.35,0.25,0.32,timeout,0,1000,25.0,0,,0,0.0,179.88,0.455,129.772,13.91,0,197.19
175,0.35,0.25,0.36,timeout,0,1000,25.0,0,,0,0.0,179.97,0.602,118.343,15.96,0,197.19
176,0.4,0.05,0.08,out_of_bounds,0,392,9.8,1,7.8,0,0.0,179.55,4.101,125.058,14.14,0,197.19
177,0.4,0.05,0.12,out_of_bounds,0,317,7.925,1,5.625,0,0.0,179.39,4.127,40.422,15.16,0,197.19
178,0.4,0.05,0.16,success,1,737,18.425,1,5.325,500,12.5,179.33,0.151,8.27,14.97,0,197.19
179,0.4,0.05,0.2,success,1,727,18.175,1,5.35,500,12.5,179.7,0.142,10.17,15.47,0,197.19
180,0.4,0.05,0.24,success,1,751,18.775,1,5.875,500,12.5,179.51,0.169,13.143,14.91,0,197.19
181,0.4,0.05,0.28,success,1,797,19.925,1,7.375,500,12.5,179.86,0.213,16.089,14.34,0,197.19
182,0.4,0.05,0.32,success,1,812,20.3,1,7.725,500,12.5,179.82,0.268,18.834,15.8,0,197.19
183,0.4,0.05,0.36,success,1,894,22.35,1,8.975,500,12.5,179.2,0.318,29.955,15.39,0,197.19
184,0.4,0.07,0.08,out_of_bounds,0,560,14.0,1,12.025,0,0.0,179.97,4.07,128.194,13.87,0,197.19
185,0.4,0.07,0.12,out_of_bounds,0,390,9.75,1,6.575,0,0.0,179.97,4.126,120.888,15.95,0,197.19
186,0.4,0.07,0.16,success,1,739,18.475,1,5.875,500,12.5,179.07,0.11,8.608,15.47,0,197.19
187,0.4,0.07,0.2,success,1,780,19.5,1,6.875,500,12.5,179.83,0.14,13.106,14.51,0,197.19
188,0.4,0.07,0.24,success,1,818,20.45,1,7.575,500,12.5,179.99,0.18,17.873,16.12,0,197.19
189,0.4,0.07,0.28,success,1,844,21.1,1,8.1,500,12.5,179.92,0.224,21.489,14.73,0,197.19
190,0.4,0.07,0.32,success,1,905,22.625,1,9.6,500,12.5,179.67,0.274,27.194,14.84,0,197.19
191,0.4,0.07,0.36,timeout,0,1000,25.0,0,,0,0.0,179.66,0.322,74.403,14.77,0,197.19
192,0.4,0.09,0.08,timeout,0,1000,25.0,0,,0,0.0,179.92,0.121,1.382,14.92,0,197.19
193,0.4,0.09,0.12,success,1,829,20.725,1,8.0,500,12.5,178.6,0.086,6.55,14.42,0,197.19
194,0.4,0.09,0.16,success,1,788,19.7,1,7.1,500,12.5,179.56,0.108,10.031,16.46,0,197.19
195,0.4,0.09,0.2,success,1,838,20.95,1,8.35,500,12.5,179.8,0.144,17.453,14.65,0,197.19
196,0.4,0.09,0.24,timeout,0,1000,25.0,0,,0,0.0,179.53,0.192,91.075,14.44,0,197.19
197,0.4,0.09,0.28,timeout,0,1000,25.0,0,,0,0.0,179.72,0.236,73.251,15.17,0,197.19
198,0.4,0.09,0.32,timeout,0,1000,25.0,0,,0,0.0,179.95,0.283,69.669,15.05,0,197.19
199,0.4,0.09,0.36,timeout,0,1000,25.0,0,,0,0.0,179.65,0.329,84.67,14.21,0,197.19
200,0.4,0.11,0.08,timeout,0,1000,25.0,0,,0,0.0,179.98,0.128,1.368,14.05,0,197.19
201,0.4,0.11,0.12,success,1,928,23.2,1,10.6,500,12.5,179.67,0.087,7.697,14.38,0,197.19
202,0.4,0.11,0.16,success,1,833,20.825,1,8.225,500,12.5,179.36,0.113,11.66,13.36,0,197.19
203,0.4,0.11,0.2,success,1,902,22.55,1,9.775,500,12.5,179.77,0.153,22.918,14.17,0,197.19
204,0.4,0.11,0.24,timeout,0,1000,25.0,0,,0,0.0,179.62,0.25,122.61,14.41,0,197.19
205,0.4,0.11,0.28,timeout,0,1000,25.0,0,,0,0.0,179.93,0.247,113.8,13.4,0,197.19
206,0.4,0.11,0.32,timeout,0,1000,25.0,0,,0,0.0,179.98,0.293,98.802,12.69,0,197.19
207,0.4,0.11,0.36,timeout,0,1000,25.0,0,,0,0.0,179.79,0.337,113.337,15.34,0,197.19
208,0.4,0.13,0.08,timeout,0,1000,25.0,0,,0,0.0,179.95,0.13,1.495,14.4,0,197.19
209,0.4,0.13,0.12,timeout,0,1000,25.0,1,13.775,436,10.9,179.86,0.113,9.692,13.54,0,197.19
210,0.4,0.13,0.16,success,1,887,22.175,1,9.35,500,12.5,180.0,0.162,14.214,14.47,0,197.19
211,0.4,0.13,0.2,timeout,0,1000,25.0,0,,0,0.0,179.92,0.223,112.183,12.72,0,197.19
212,0.4,0.13,0.24,timeout,0,1000,25.0,0,,0,0.0,179.96,0.268,145.384,15.5,0,197.19
213,0.4,0.13,0.28,timeout,0,1000,25.0,0,,0,0.0,179.86,0.256,137.355,14.31,0,197.19
214,0.4,0.13,0.32,timeout,0,1000,25.0,0,,0,0.0,179.65,0.301,135.012,14.46,0,197.19
215,0.4,0.13,0.36,timeout,0,1000,25.0,0,,0,0.0,179.93,0.346,139.566,12.07,0,197.19
216,0.4,0.15,0.08,timeout,0,1000,25.0,0,,0,0.0,179.97,0.132,1.659,16.15,0,197.19
217,0.4,0.15,0.12,timeout,0,1000,25.0,1,19.45,218,5.45,179.97,0.111,11.735,13.45,0,197.19
218,0.4,0.15,0.16,success,1,957,23.925,1,11.2,500,12.5,179.81,0.121,16.233,12.24,0,197.19
219,0.4,0.15,0.2,timeout,0,1000,25.0,0,,0,0.0,179.88,0.223,125.407,14.86,0,197.19
220,0.4,0.15,0.24,timeout,0,1000,25.0,0,,0,0.0,179.95,0.273,156.533,15.18,0,197.19
221,0.4,0.15,0.28,timeout,0,1000,25.0,0,,0,0.0,179.96,0.28,154.268,13.04,0,197.19
222,0.4,0.15,0.32,timeout,0,1000,25.0,0,,0,0.0,179.99,0.316,150.503,14.62,0,197.19
223,0.4,0.15,0.36,timeout,0,1000,25.0,0,,0,0.0,179.92,0.371,148.983,12.47,0,197.19
224,0.4,0.17,0.08,timeout,0,1000,25.0,0,,0,0.0,179.89,0.135,1.854,15.13,0,197.19
225,0.4,0.17,0.12,timeout,0,1000,25.0,0,,0,0.0,179.98,0.134,13.528,14.0,0,197.19
